,Fault,Ground Truth,Baseline Answer,Agent Answer
6018,#2 & 3 INTAKES LEAKING ON R/H ENGINE.,REMOVED & REPLACED GASKETS.,Replace intake manifold gasket on right-hand engine.,REPLACE BOTH #2 & 3 INTAKE GASKETS ON R/H ENGINE.
410,REPLACE L/H ENGINE TORQUEMETER HOSES.,LEAK CHECKED GOOD.,"Disconnect and remove the left-hand (L/H) engine torquemeter hoses from their respective connections. Inspect for any signs of damage or wear, then replace with new hoses. Reconnect securely to ensure accurate readings.",REPLACE L/H ENGINE TORQUEMETER HOSES (SELECTING NEW HOSES THAT MATCH THE ORIGINAL SPECIFICATIONS).
1483,CYL #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED CYL #3 ROCKER COVER GASKET.,Replace rocker cover gasket and seal.,REPLACE CYL #3 ROCKER COVER GASKET WITH A NEW ONE AND CLEAN THE LEAKS.
1755,ENG DIED AFTER LANDING.,STARTED A/C USING FLOODED START PROCEDURE. A/C RAN NORM,"Perform a battery disconnect and reconnect to reset the engine computer. Check for loose connections and ensure all electrical systems are functioning properly. If issue persists, perform a thorough inspection of the engine's electrical system, including the starter motor, solenoid, and wiring harness.","Inspect and replace ENG D baffling plugs as necessary due to recent actions of installed new baffle plug on L/H side of engine, replaced both baffle plugs, tightened baffle screw, and removed & replaced engine baffle buttons on L/H & R/H sides."
3043,"ENGINE OVERSPEED, 2750 - 2760 RPM FOR 3-4 SECONDS.","RESEARCHED FDM CARD DATA, FOUND MAX RPM OF 2739.8; WHIC",Check and adjust the throttle stop screw to ensure proper idle speed.,"Review FDM data to determine actual overspeed value, then retrieve and review raw data from SD card for further analysis of engine behavior during incident."
3739,L/H ENG #2 & 4 INTAKE TUBE GASKETS LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.,"Replace leaking intake tube gaskets on Left Hand Engine (L/H) numbers 2 and 4 with new ones. Inspect surrounding areas for any signs of damage or wear, and clean as necessary before reassembling.",REMOVED AND REPLACED #2 & 4 INTAKE TUBE GASKETS.
3333,"2 BAFFLE SCREWS MISSING, ABOVE STARTER.",INSTALLED SCREWS.,Replace missing baffle screws above starter.,REPLACE 2 BAFFLE SCREWS ABOVE STARTER.
3846,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,"Replace rocker cover gasket with new one, apply sealant to mating surfaces, and torque rocker cover bolts in sequence.",REMOVED & REPLACED #4 ROCKER COVER GASKET.
1961,#2 INTAKE GASKET LEAKING.,REPLACED #2 INTAKE GASKET W/ NEW.,Replace intake gasket.,REMOVED & REPLACED #2 INTAKE GASKET.
1745,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,Replace intake gasket on cylinder #2.,REPLACE CYL #2 INTAKE GASKET WITH NEW ONE.
